AHSC 220,Lifespan Growth and Development for Practitioners,"This survey course provides an interdisciplinary overview of biopsychosocial patterns of development over the lifespan, from conception to death. Students learn about theories of human development, with an emphasis on typical normative development, and on application of theory to practice. The course material covers key issues in development, major milestones of development, and major life events. In addition, students are given opportunities to think critically and to become better able to interpret and assess research within the field.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 223,Relationships Across the Lifespan,"This course is designed to provide a theoretical overview of how relationships are formed, sustained, and developed/changed in each stage of human life. A variety of theories and perspectives are explored.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 225,"Principles of Experiential and Action Learning and the Reflective Practitioner
 ","This course introduces students to the ways in which theories of learning (including experiential, transformational, integral and action learning) relate to and can inform efforts to bring improvement and change to individuals and groups. The course explores the importance of personal engagement in learning, and illustrates how ongoing reflection strengthens a learning process. It enables students to create clear personal visions, set relevant learning goals, create and organize related activities, and assess their progress. The course provides learning process models and ways to identify personal stylistic differences which affect personal learning progress and strategies.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 230,Interpersonal Communication and Relationships,"This course is designed to provide knowledge and skill in building and maintaining interpersonal relationships characterized by mutual understanding and respect. Students can expect to enhance their understanding of themselves and their personal styles. The course focuses on effective communication behaviour. Students can expect to improve their abilities to attend to verbal and non-verbal communication; exchange constructive feedback with others; address and deal constructively with conflict; and communicate across differences, such as gender and race. Conceptual perspectives include the contextual influences in relationship dynamics and the role of affect in interpersonal communication. The course also examines value considerations.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 232,Working in Task Groups,"Prerequisite: AHSC 230. This course is an introduction to understanding interaction and developmental processes of small groups and skill-building for effective participation. It enables students to learn frameworks for observing a groups process, member roles that facilitate positive group processes and task accomplishment, and models of intervention in small groups. The course provides opportunities for students to integrate the theory they learn with their experiences in a task group.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 241,Recreation and Leisure in Contemporary Society,"This course introduces students to the theories and relationships of play, perceptions of free and discretionary time, concepts of leisure, and the historical foundations for the discipline. The concepts are presented as integral components of todays lifestyle. In addition, the organized recreation system is examined, with an introduction to the leisure services delivery system. The students also examine the role that leisure plays in current societal issues.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 260,"Program Planning, Design and Evaluation","The course prepares students to construct effective interactive programs designed for specific client populations. Using program design principles and practices, students match learning activities to desired program outcomes, while considering participant qualities and contextual features. Emphasis is placed on assessment, design, and evaluation knowledge and skills.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 270,Introduction to Human Relations Theory and Research,"This course is an introduction to general systems theory and change from an interventionist perspective, as well as an orientation to various unique human systems. It focuses on understanding applied social science research and examines general strategies of intervention and salient models of practice, exposing students to varied domains of application. The course also features attention to values and ethical issues associated with specific practice and intervention strategies and the role of social justice andanti-oppressive approaches.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 281,Introduction to Therapeutic Recreation,"An examination of the fundamental concepts of therapeutic recreation. Included is the study of the historical foundations and the basic terminology, purposes, and theories of therapeutic recreation.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 298,Selected Topics in Applied Human Sciences,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 310,Tourism in Canada,"This course presents an examination of the tourism industry in Canada, including concepts, research, practices, and promotion. Topics covered include destination motivation, commercial recreation, business travel, trends in tourism development, government agencies, the economics of promotion, social objectives, market segmentation, and ethical and legal considerations.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 311,Respecting Diversity in Human Relations,"Prerequisite: 24 university credits including AHSC 230. This course examines the role of interconnected identity-related differences, such as age, culture, disability, ethnicity, gender, geographical location, health status, history, language, power, race, religion, sexual orientation, social class, and privilege in human relationships and human systems. Students learn about histories of oppression and marginalization in Canada, theories of diversity and difference, as well as the impact of social justice movements and being and becoming an ally. Students are given opportunities to develop critical thinking and analytic skills and respect for difference and diversity.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 312,Sexuality in Human Relations,"Prerequisite: 24 university credits including AHSC 220, 230 or enrolment in the Major or Minor in Interdisciplinary Studies in Sexuality. This course provides students with knowledge of physical and psychosocial aspects of sexuality in relationships through life and examines values, attitudes, and issues related to the development and expression of sexuality. Topics include gender, family, cultural and media influences; historically and culturally based attitudes; prevention and sexually transmitted diseases; self-perception and identity in sexuality; and emotion and sexuality. The course aims to foster respect for persons and diversity.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 313,Family Communication,"Prerequisite: AHSC 220, AHSC 230. This course is a requirement for students enrolled in the Certificate in Family Life Education. This course is an examination of patterns, effective approaches, and issues in communication among persons in primary partnerships and families. It also explores topics such as diversity in forms of family, decision-making, problem-solving, power relations, gender issues, managing differences in expectations, and the influences of cultural, social, and economic contexts.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 314,Adolescence: Issues and Intervention,"Prerequisite: AHSC 220. This course links knowledge of adolescent development to a more detailed examination of related adolescent patterns and issues, including peer relations and friendship, parental and family relations, identity, sexuality and gender, and socio-economic and cultural influences. Directed towards students interested in working with adolescents, the course combines theoretical and practical knowledge relating to adolescents, their parents and their concerns for the purpose of enhancing the adolescent experience.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 315,Interviewing,"Prerequisite: AHSC 230. This course reviews different forms and concepts relevant to interviewing for use in work and community settings. It examines communication influences on the interviewer and interviewee and the limitations of different interview approaches. It enables students to structure and design interviews, to build rapport, and to manage information flow.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 316,Adulthood: Patterns and Transitions,"Prerequisite: AHSC 220. This course examines relationships, transitions, and developmental change through early adulthood and middle age. Relevant adult development theories are reviewed. Students explore the nature and significance of close relationships, life transitions, choices and contextual influences. This course includes a consideration of the societal values inherent in notions of maturity, optimal environments, and interventions to enhance quality of life.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 319,Older Adulthood: Issues and Intervention,"Prerequisite: AHSC 220. This course explores developmental change patterns and differences among people in older adulthood. Topics include retirement and pensions, concepts of health, fitness, well-being and models of health care, housing and transportation, leisure, family and social relations, ethnicity and aging, loss and grief, death and dying. Designed for persons interested in working with older adults, the course fosters awareness of myths, stereotypes and ageism, and emphasizes an attention to community social support and interventions which are enabling.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 320,Family and Youth Legislation,"Prerequisite: AHSC 220. This course reviews all aspects of federal and provincial legislation that impact on practice with families. Legislation governing marriage, divorce and custody, family violence, child and youth protection and placement, youth crime, child advocacy and the challenges of working with families in relation to the legislation, are presented with a particular focus on the rights of children and the legal responsibilities of practitioners.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 321,Historical Foundations of Leisure and Recreation ,"Prerequisite: AHSC 241. This course offers an overview of leisure and recreation throughout history, highlighting selected major trends among different historical eras. This includes the historical and philosophical roots of leisure, the conditions in society that have affected leisure, the responses to those conditions, and the role of leisure in contemporary life. This course offers an opportunity to analyze the values, beliefs and ethics relating to leisure that shape modern traditions and cultures.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 322,Fundamentals of Child- and Youth-Care Work,"Prerequisite: AHSC 220. The objectives of this course are to provide students with an understanding of the scope and status of child- and youth-care work, to sensitize them to the necessary competencies and daily challenges of this work in a range of settings, and to review relevant theory. An overview of the history of the field is provided, as well as a review of seminal writings and recent literature on best practices.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
AHSC 323,Gender and Leisure,"Prerequisite: 24 university credits including AHSC 241 or 242. This course focuses on theory and empirical research concerning the relationships between gender and leisure. This includes topics such as the effect of gender on leisure meanings, constraints to leisure, and participation in leisure. In addition, this course explores the cultural influences of leisure related to gender identity and gender relations. As part of this, the course explores the role that leisure plays as a significant site for the social construction and contestation of gender. Emphasis is placed on understanding ways in which gender relations and gender role expectations affect and are affected by leisure.",https://www.concordia.ca//academics/undergraduate/calendar/current/sec31/31-010.html
